row,pass,gen_q1,gen_q2,gen_q3,flag1,flag2,flag3,cos1,cos2,cos3,mean_cosine,n_flagged,all_noncommittal,score,baseline_score,baseline_zero,deepeval_score,deferral_label,question,category,source,ends_in_question,n_referral_phrases,referral_density_per_1k,response_len,first_referral_pos_frac,substantive_precedes_referral
5,1,How can I set a goal that is suitable for my situation as a cancer survivor?,How can I tailor a goal that fits my situation as a cancer survivor?,How can I set a personalized goal for my health as a cancer survivor?,1,1,1,0.79009353797734,0.7948083762403522,0.7858146680590321,0.7902388607589081,3,True,0.0,0.0,True,1.0,COMMITS,Why do you ask me so many questions before giving me a goal? Can't you just tell me what to do?,SMART Goal,manual,False,0,0.0,562,,
5,2,How can I tailor a goal that fits my needs as a cancer survivor?,How can I tailor a goal that fits my unique situation as a cancer survivor?,How can I set a goal that is suitable for my situation as a cancer survivor?,1,1,1,0.7949939001870413,0.7936071561102488,0.7901128683914722,0.7929046415629207,3,True,0.0,0.0,True,1.0,COMMITS,Why do you ask me so many questions before giving me a goal? Can't you just tell me what to do?,SMART Goal,manual,False,0,0.0,562,,
5,3,How can I set a goal that is right for me as a cancer survivor?,How can I tailor a goal that fits my unique situation as a cancer survivor?,"What specific area would you like to improve, such as physical activity, sleep, or nutrition?",1,1,1,0.7912758126817838,0.7936071561102488,0.7543385049852669,0.7797404912590998,3,True,0.0,0.0,True,1.0,COMMITS,Why do you ask me so many questions before giving me a goal? Can't you just tell me what to do?,SMART Goal,manual,False,0,0.0,562,,
6,1,Is any amount of exercise beneficial for health?,Is any amount of exercise beneficial for health?,Is any amount of movement beneficial for health?,0,0,0,0.8535916924581751,0.8535916924581751,0.8622799348355008,0.856487773250617,0,False,0.856487773250617,0.8622799348,False,1.0,COMMITS,I barely feel like moving some days. Is there any point in doing a little exercise?,Physical Activity,manual,True,0,0.0,481,,
6,2,Is any amount of exercise beneficial for health?,Is any amount of exercise beneficial for health?,Is any amount of exercise beneficial for health?,0,0,0,0.8535916924581751,0.8535916924581751,0.8535916924581751,0.8535916924581751,0,False,0.8535916924581751,0.8622799348,False,1.0,COMMITS,I barely feel like moving some days. Is there any point in doing a little exercise?,Physical Activity,manual,True,0,0.0,481,,
6,3,Is any amount of exercise beneficial for health?,Is any amount of exercise beneficial for health?,Is any amount of exercise beneficial for health?,0,0,0,0.8535916924581751,0.8535916924581751,0.8535916924581751,0.8535916924581751,0,False,0.8535916924581751,0.8622799348,False,1.0,COMMITS,I barely feel like moving some days. Is there any point in doing a little exercise?,Physical Activity,manual,True,0,0.0,481,,
7,1,What types of stretches can help alleviate stiffness and joint discomfort after cancer treatment?,What types of stretches can help alleviate stiffness and joint discomfort after cancer treatment?,What types of stretches can help alleviate stiffness and joint discomfort after cancer treatment?,0,0,0,0.9448265660265022,0.9448265660265022,0.9448265660265022,0.9448265660265022,0,False,0.9448265660265022,0.9425010779,False,1.0,COMMITS,I feel stiff and my joints ache after cancer treatment. What kind of stretching should I be doing?,Physical Activity,manual,True,0,0.0,1039,,
7,2,What types of stretches can help alleviate stiffness and joint discomfort after cancer treatment?,What types of stretches can help alleviate stiffness and joint discomfort after cancer treatment?,What types of stretches can help alleviate stiffness and joint discomfort after cancer treatment?,0,0,0,0.9447808351515988,0.9447808351515988,0.9447808351515988,0.9447808351515988,0,False,0.9448562348251688,0.9425010779,False,1.0,COMMITS,I feel stiff and my joints ache after cancer treatment. What kind of stretching should I be doing?,Physical Activity,manual,True,0,0.0,1039,,
7,3,What types of stretches can help alleviate stiffness and joint discomfort after cancer treatment?,What types of stretches can help alleviate stiffness and joint discomfort after cancer treatment?,What types of stretches can help alleviate stiffness and joint discomfort after cancer treatment?,0,0,0,0.9448265660265022,0.9448265660265022,0.9448265660265022,0.9448265660265022,0,False,0.9447808351515988,0.9425010779,False,1.0,COMMITS,I feel stiff and my joints ache after cancer treatment. What kind of stretching should I be doing?,Physical Activity,manual,True,0,0.0,1039,,
8,1,How can weight and exercise habits impact heart health after cancer treatment?,How can weight and exercise habits impact heart health after cancer treatment?,How can weight and exercise habits impact heart health after cancer treatment?,0,0,0,0.9414509585879244,0.9414509585879244,0.9414509585879244,0.9414509585879244,0,False,0.9414509585879244,0.9414509586,False,1.0,COMMITS,"I'm curious about how my weight and exercise habits can affect my heart health, especially after my cancer treatment. Can you help me understand this better?",rag_grounded,deepeval,True,0,0.0,1041,,
8,2,How can weight and exercise habits impact heart health after cancer treatment?,How do weight and exercise habits impact heart health after cancer treatment?,How do weight and exercise habits impact heart health after cancer treatment?,0,0,0,0.9414509585879244,0.941056979912446,0.941056979912446,0.9411883061376054,0,False,0.9411731010724028,0.9414509586,False,1.0,COMMITS,"I'm curious about how my weight and exercise habits can affect my heart health, especially after my cancer treatment. Can you help me understand this better?",rag_grounded,deepeval,True,0,0.0,1041,,
8,3,How can weight and exercise habits impact heart health after cancer treatment?,How can weight and exercise habits impact heart health after cancer treatment?,How can weight and exercise habits impact heart health after cancer treatment?,0,0,0,0.9414509585879244,0.9414509585879244,0.9414509585879244,0.9414509585879244,0,False,0.941444953931518,0.9414509586,False,1.0,COMMITS,"I'm curious about how my weight and exercise habits can affect my heart health, especially after my cancer treatment. Can you help me understand this better?",rag_grounded,deepeval,True,0,0.0,1041,,
9,1,Can you help me set some realistic physical activity goals?,Can you help me set some realistic physical activity goals?,What are some realistic physical activity goals I can set?,0,0,1,0.9346905721569606,0.9346905721569606,0.9072124892871412,0.925531211200354,1,False,0.9255177550360072,0.9255312112,False,1.0,COMMITS,I'm feeling a bit overwhelmed with all the health advice out there. Can you help me set some realistic physical activity goals that fit my current level and the time I have available?,rag_grounded,deepeval,True,0,0.0,346,,
9,2,Can you help me set some realistic physical activity goals?,Can you help me set some realistic physical activity goals?,Can you help me set some realistic physical activity goals?,0,0,0,0.9346519042875056,0.9346519042875056,0.9346519042875056,0.9346519042875056,0,False,0.9346905721569606,0.9255312112,False,1.0,COMMITS,I'm feeling a bit overwhelmed with all the health advice out there. Can you help me set some realistic physical activity goals that fit my current level and the time I have available?,rag_grounded,deepeval,True,0,0.0,346,,
9,3,Can you help me set some realistic physical activity goals?,Can you help me set some realistic physical activity goals?,Can you help me set realistic physical activity goals?,0,0,0,0.9346905721569606,0.9346462407792544,0.9329724059368716,0.9341030729576956,0,False,0.934126962159239,0.9255312112,False,1.0,COMMITS,I'm feeling a bit overwhelmed with all the health advice out there. Can you help me set some realistic physical activity goals that fit my current level and the time I have available?,rag_grounded,deepeval,True,0,0.0,346,,
10,1,What should cancer survivors consider when exercising?,What should cancer survivors consider when starting an exercise program?,What should a cancer survivor consider when starting an exercise program?,0,0,0,0.9321953564112068,0.9161648698602096,0.9215723693590436,0.9233108652101532,0,False,0.9232725760630628,0.9268518609,False,1.0,COMMITS,"As a cancer survivor, what should I keep in mind about my heart health and staying safe while exercising?",rag_grounded,deepeval,False,2,1.2836970474967908,1558,0.1059050064184852,True
10,2,What should cancer survivors consider when exercising?,What should a cancer survivor consider when starting an exercise program?,What should cancer survivors consider when starting an exercise program?,0,0,0,0.9321953564112068,0.9215723693590436,0.9161648698602096,0.9233108652101532,0,False,0.9232997530866336,0.9268518609,False,1.0,COMMITS,"As a cancer survivor, what should I keep in mind about my heart health and staying safe while exercising?",rag_grounded,deepeval,False,2,1.2836970474967908,1558,0.1059050064184852,True
10,3,What should cancer survivors consider when starting an exercise program?,What should cancer survivors consider when exercising?,What should cancer survivors consider when starting an exercise program?,0,0,0,0.91621885490296,0.932252799986444,0.91621885490296,0.9215635032641212,0,False,0.9215083653772088,0.9268518609,False,1.0,COMMITS,"As a cancer survivor, what should I keep in mind about my heart health and staying safe while exercising?",rag_grounded,deepeval,False,2,1.2836970474967908,1558,0.1059050064184852,True
11,1,What are some strategies for staying active and managing stress during cancer treatment?,What are some strategies for staying active and managing stress during cancer treatment?,What are some strategies for staying active and managing stress during cancer treatment?,1,1,1,0.9731529547800688,0.9731529547800688,0.9731529547800688,0.9731529547800688,3,True,0.0,0.0,True,1.0,COMMITS,What are some easy ways I can stay active and manage stress while dealing with my cancer treatment?,rag_grounded,deepeval,True,0,0.0,1135,,
11,2,What are some strategies for staying active and managing stress during cancer treatment?,What are some strategies for staying active and managing stress during cancer treatment?,What are some strategies for staying active and managing stress during cancer treatment?,0,0,1,0.9731323954032496,0.9731323954032496,0.9731323954032496,0.9731323954032496,1,False,0.9731323954032496,0.0,True,1.0,COMMITS,What are some easy ways I can stay active and manage stress while dealing with my cancer treatment?,rag_grounded,deepeval,True,0,0.0,1135,,
11,3,What are some strategies for staying active and managing stress during cancer treatment?,What are some strategies for staying active and managing stress during cancer treatment?,What are some strategies to stay active and manage stress during cancer treatment?,0,1,1,0.9731323954032496,0.9731323954032496,0.9735004654402536,0.9732550854155844,2,False,0.9732550854155844,0.0,True,1.0,COMMITS,What are some easy ways I can stay active and manage stress while dealing with my cancer treatment?,rag_grounded,deepeval,True,0,0.0,1135,,
12,1,Can exercise improve the quality of life after a cancer diagnosis?,Can exercise improve the quality of life after a cancer diagnosis?,Can exercise improve quality of life after a cancer diagnosis?,0,0,0,0.9883353747066934,0.988347750281378,0.9871680127347672,0.9879503792409462,0,False,0.9879530670565224,0.9783653873,False,1.0,COMMITS,Will exercise improve my quality of life after a cancer diagnosis?,Physical Activity,manual,True,0,0.0,680,,
12,2,Can exercise improve the quality of life after a cancer diagnosis?,Can exercise improve quality of life after a cancer diagnosis?,Can exercise improve the quality of life after a cancer diagnosis?,0,0,0,0.9883292822641964,0.9871612629809076,0.9883292822641964,0.9879399425031,0,False,0.9879520339415204,0.9783653873,False,1.0,COMMITS,Will exercise improve my quality of life after a cancer diagnosis?,Physical Activity,manual,True,0,0.0,680,,
12,3,Can exercise improve the quality of life after a cancer diagnosis?,Can exercise improve quality of life after a cancer diagnosis?,Can exercise improve quality of life after a cancer diagnosis?,0,0,0,0.988347750281378,0.9871606012618056,0.9871606012618056,0.987556317601663,0,False,0.987556317601663,0.9783653873,False,1.0,COMMITS,Will exercise improve my quality of life after a cancer diagnosis?,Physical Activity,manual,True,0,0.0,680,,
13,1,Can apps help with setting and achieving health goals?,Can apps help with setting and sticking to health goals?,Can apps help with setting and achieving health goals?,0,0,0,0.975545026543011,0.9791585476752314,0.975545026543011,0.9767495335870844,0,False,0.976747513140601,0.9755450265,False,1.0,COMMITS,Can an app actually help me set and stick to health goals?,SMART Goal,manual,False,0,0.0,734,,
13,2,Can apps help with setting and sticking to health goals?,Can apps help with setting and sticking to health goals?,Can apps help with setting and sticking to health goals?,0,0,0,0.9791585476752314,0.9791585476752314,0.979168172408756,0.9791617559197396,0,False,0.9791732870576288,0.9755450265,False,1.0,COMMITS,Can an app actually help me set and stick to health goals?,SMART Goal,manual,False,0,0.0,734,,
13,3,Can apps help with setting and achieving health goals?,Can apps help with setting and achieving health goals?,How can apps help with setting and achieving health goals?,0,0,0,0.9755401712081546,0.9755537730346424,0.9650944221853596,0.9720627888093856,0,False,0.9720552626027308,0.9755450265,False,1.0,COMMITS,Can an app actually help me set and stick to health goals?,SMART Goal,manual,False,0,0.0,734,,
14,1,What should I do to start exercising after cancer treatment?,What should I do to start exercising after cancer treatment?,What are some suggestions for starting exercise after cancer treatment?,1,1,1,0.9294367673788836,0.9294367673788836,0.9103154758693922,0.9230630035423864,3,True,0.0,0.0,True,1.0,COMMITS,I have not exercised in years and just finished cancer treatment. Where do I even start?,Physical Activity,manual,True,0,0.0,852,,
14,2,What should I do to start exercising after cancer treatment?,What should I do to start exercising after cancer treatment?,What should I do to start exercising after cancer treatment?,1,1,1,0.9294367673788836,0.9294367673788836,0.9294367673788836,0.9294367673788836,3,True,0.0,0.0,True,1.0,COMMITS,I have not exercised in years and just finished cancer treatment. Where do I even start?,Physical Activity,manual,True,0,0.0,852,,
14,3,What should someone consider when starting exercise after cancer treatment?,What should I do to start exercising after cancer treatment?,What are some suggestions for starting exercise after cancer treatment?,1,1,1,0.9010772022871084,0.9294296380875668,0.910435865531393,0.913647568635356,3,True,0.0,0.0,True,1.0,COMMITS,I have not exercised in years and just finished cancer treatment. Where do I even start?,Physical Activity,manual,True,0,0.0,852,,
15,1,What are the benefits of stretching after cancer treatment?,What are the benefits of stretching after cancer treatment?,What are the benefits of stretching after cancer treatment?,0,0,0,0.917540292493174,0.917540292493174,0.917540292493174,0.917540292493174,0,False,0.917540292493174,0.9175402925,False,1.0,COMMITS,I feel really stiff after my cancer treatment. Would stretching help?,Physical Activity,manual,True,0,0.0,595,,
15,2,What are the benefits of stretching after cancer treatment?,What are the benefits of stretching after cancer treatment?,What are the benefits of stretching after cancer treatment?,0,0,0,0.917540292493174,0.917540292493174,0.917540292493174,0.917540292493174,0,False,0.917540292493174,0.9175402925,False,1.0,COMMITS,I feel really stiff after my cancer treatment. Would stretching help?,Physical Activity,manual,True,0,0.0,595,,
15,3,What are the benefits of stretching after cancer treatment?,What are the benefits of stretching after cancer treatment?,What are the benefits of stretching after cancer treatment?,0,0,0,0.917540292493174,0.917540292493174,0.917540292493174,0.917540292493174,0,False,0.917540292493174,0.9175402925,False,1.0,COMMITS,I feel really stiff after my cancer treatment. Would stretching help?,Physical Activity,manual,True,0,0.0,595,,
16,1,What advice can you give to someone looking to increase their physical activity?,What can I do to increase my physical activity safely?,What should I do to increase my physical activity safely?,1,1,1,0.8773813159199033,0.9086135807702184,0.9023267920397854,0.8961072295766357,3,True,0.0,0.0,True,1.0,COMMITS,I just read that increasing my physical activity could significantly lower my cancer mortality risk. How can I safely incorporate more exercise into my routine?,rag_grounded,deepeval,False,0,0.0,532,,
16,2,What can I do to increase my physical activity safely?,What is your current activity level and how can you safely increase your physical activity?,What are some ways to safely incorporate more exercise into my routine?,1,1,1,0.9086135807702184,0.8855358801049215,0.8983436891417175,0.8974977166722858,3,True,0.0,0.0,True,1.0,COMMITS,I just read that increasing my physical activity could significantly lower my cancer mortality risk. How can I safely incorporate more exercise into my routine?,rag_grounded,deepeval,False,0,0.0,532,,
16,3,What can I do to increase my physical activity safely?,What can I do to increase my physical activity safely?,What steps can I take to increase my physical activity safely?,1,1,1,0.908616046459888,0.9086135807702184,0.9030789462524238,0.9067695244941768,3,True,0.0,0.0,True,1.0,COMMITS,I just read that increasing my physical activity could significantly lower my cancer mortality risk. How can I safely incorporate more exercise into my routine?,rag_grounded,deepeval,False,0,0.0,532,,
17,1,What are some ways to incorporate movement into my daily routine?,What are some ways to incorporate movement into my daily routine?,What are some ways to incorporate movement into my daily routine?,0,0,0,0.9238099151074582,0.9238099151074582,0.9238099151074582,0.9238099151074582,0,False,0.9238099151074582,0.0,True,1.0,COMMITS,What are some simple ways I can start moving more each day without feeling overwhelmed?,rag_grounded,deepeval,True,0,0.0,1061,,
17,2,What are some ways to incorporate movement into my daily routine?,What are some ways to incorporate movement into a daily routine?,What are some ways to incorporate more movement into your daily routine?,1,0,0,0.9238099151074582,0.9180554908989174,0.9228332477844026,0.9215662179302594,1,False,0.9215662179302594,0.0,True,1.0,COMMITS,What are some simple ways I can start moving more each day without feeling overwhelmed?,rag_grounded,deepeval,True,0,0.0,1061,,
17,3,What are some ways to incorporate movement into my daily routine?,What are some ways to incorporate movement into my daily routine?,What are some ways to incorporate movement into my daily routine?,1,0,1,0.9238099151074582,0.9238099151074582,0.9238099151074582,0.9238099151074582,2,False,0.9238099151074582,0.0,True,1.0,COMMITS,What are some simple ways I can start moving more each day without feeling overwhelmed?,rag_grounded,deepeval,True,0,0.0,1061,,
18,1,What should I discuss with my healthcare provider regarding lifestyle factors in cancer care?,What should I discuss with my healthcare provider regarding lifestyle factors in cancer care?,What should I discuss with my healthcare provider regarding lifestyle factors in cancer care?,1,1,1,0.8258170811082908,0.8258170811082908,0.8258170811082908,0.8258170811082909,3,True,0.0,0.0,True,1.0,COMMITS,My doctor has never talked to me about diet or exercise. Is that normal?,Cancer & Survivorship Education,manual,True,1,1.2062726176115803,829,0.7056694813027744,True
18,2,What should I discuss with my healthcare provider regarding lifestyle factors in cancer care?,What should I discuss with my healthcare provider regarding lifestyle factors in cancer care?,What should I discuss with my healthcare provider regarding lifestyle factors in cancer care?,1,1,1,0.8257289547370779,0.8257289547370779,0.8257289547370779,0.825728954737078,3,True,0.0,0.0,True,1.0,COMMITS,My doctor has never talked to me about diet or exercise. Is that normal?,Cancer & Survivorship Education,manual,True,1,1.2062726176115803,829,0.7056694813027744,True
18,3,What should I discuss with my healthcare provider regarding lifestyle factors in cancer care?,What should I discuss with my healthcare provider regarding lifestyle factors in cancer care?,What should I discuss with my healthcare provider regarding lifestyle factors in cancer care?,1,1,1,0.8257289547370779,0.8257289547370779,0.8257289547370779,0.825728954737078,3,True,0.0,0.0,True,1.0,COMMITS,My doctor has never talked to me about diet or exercise. Is that normal?,Cancer & Survivorship Education,manual,True,1,1.2062726176115803,829,0.7056694813027744,True
19,1,What should cancer survivors consider regarding weight management?,What should cancer survivors consider regarding weight management?,What should cancer survivors consider regarding weight management?,1,1,1,0.8561498108645977,0.8561498108645977,0.8561498108645977,0.8561498108645976,3,True,0.0,0.0,True,1.0,COMMITS,I am at a healthy weight. Is weight management still something I need to think about?,BMI,manual,True,0,0.0,863,,
19,2,What should cancer survivors consider regarding weight management?,What should cancer survivors consider regarding weight management?,What should cancer survivors consider regarding weight management?,1,1,1,0.8561498108645977,0.8561498108645977,0.8561498108645977,0.8561498108645976,3,True,0.0,0.0,True,1.0,COMMITS,I am at a healthy weight. Is weight management still something I need to think about?,BMI,manual,True,0,0.0,863,,
19,3,What should cancer survivors consider regarding weight management?,What should cancer survivors consider regarding weight management?,What should cancer survivors consider regarding weight management?,1,1,1,0.8561498108645977,0.8561498108645977,0.8561498108645977,0.8561498108645976,3,True,0.0,0.0,True,1.0,COMMITS,I am at a healthy weight. Is weight management still something I need to think about?,BMI,manual,True,0,0.0,863,,
20,1,What are some strategies for setting realistic exercise goals?,What are some strategies for setting realistic exercise goals?,What are some strategies for setting realistic exercise goals?,0,0,0,0.9265375395018448,0.9265375395018448,0.9265375395018448,0.9265375395018448,0,False,0.9265375395018448,0.9286176343,False,1.0,COMMITS,"What are some simple ways I can set exercise goals that I can actually stick to, especially while managing my health?",rag_grounded,deepeval,True,0,0.0,1221,,
20,2,What are some strategies for setting realistic exercise goals?,What are some strategies for setting realistic exercise goals?,What are some strategies for setting realistic exercise goals?,0,0,0,0.9265375395018448,0.9265375395018448,0.9265375395018448,0.9265375395018448,0,False,0.9265228992175324,0.9286176343,False,1.0,COMMITS,"What are some simple ways I can set exercise goals that I can actually stick to, especially while managing my health?",rag_grounded,deepeval,True,0,0.0,1221,,
20,3,What are some strategies for setting realistic exercise goals?,What are some strategies for setting realistic and achievable exercise goals?,What are some strategies for setting realistic exercise goals?,0,0,0,0.9265375395018448,0.9331803887858235,0.9265375395018448,0.9287518225965044,0,False,0.9287350430829026,0.9286176343,False,1.0,COMMITS,"What are some simple ways I can set exercise goals that I can actually stick to, especially while managing my health?",rag_grounded,deepeval,True,0,0.0,1221,,
21,1,"Is exercise safe for cancer survivors, especially older individuals?","Is exercise safe for cancer survivors, especially older individuals?",Is exercise safe for cancer survivors?,0,0,0,0.9122446757982252,0.9122446757982252,0.9094833804766518,0.9113242440243674,0,False,0.9113242440243674,0.9122446758,False,1.0,COMMITS,I am 72 and just finished cancer treatment. Is exercise still safe for me at my age?,Physical Activity,manual,True,1,1.984126984126984,504,0.623015873015873,True
21,2,"Is exercise safe for cancer survivors, especially older individuals?","Is exercise safe for cancer survivors, especially older individuals?",Is exercise safe for cancer survivors?,0,0,0,0.9122446757982252,0.9122446757982252,0.9094833804766518,0.9113242440243674,0,False,0.9113242440243674,0.9122446758,False,1.0,COMMITS,I am 72 and just finished cancer treatment. Is exercise still safe for me at my age?,Physical Activity,manual,True,1,1.984126984126984,504,0.623015873015873,True
21,3,"Is exercise safe for cancer survivors, especially older individuals?","Is exercise safe for cancer survivors, especially older individuals?",Is exercise safe for cancer survivors?,0,0,0,0.9122446757982252,0.9122446757982252,0.9094833804766518,0.9113242440243674,0,False,0.9113242440243674,0.9122446758,False,1.0,COMMITS,I am 72 and just finished cancer treatment. Is exercise still safe for me at my age?,Physical Activity,manual,True,1,1.984126984126984,504,0.623015873015873,True
22,1,"Which is better for a cancer survivor, joining a gym with a trainer or exercising at home?",Which option is better for exercising: joining a gym with a trainer or working out at home?,"Which option is better for exercising as a cancer survivor, joining a gym with a trainer or working out at home?",1,1,1,0.904635686165801,0.951029999325858,0.9065944603672982,0.9207533819529856,3,True,0.0,0.0,True,1.0,COMMITS,Should I join a gym with a trainer or can I exercise at home on my own?,Physical Activity,manual,True,0,0.0,859,,
22,2,Which option is better for exercising: joining a gym with a trainer or working out at home?,"Which option is better for exercising after cancer treatment, joining a gym with a trainer or working out at home?",Which is better for a cancer survivor: joining a gym with a trainer or exercising at home?,1,1,1,0.9509946500450404,0.9084441264711932,0.9051309097297678,0.9215232287486672,3,True,0.0,0.0,True,1.0,COMMITS,Should I join a gym with a trainer or can I exercise at home on my own?,Physical Activity,manual,True,0,0.0,859,,
